iter	Logloss
0	0.6678164334
1	0.6402991536
2	0.615677228
3	0.5947540871
4	0.5762331317
5	0.5589324861
6	0.5431552327
7	0.5324670003
8	0.5211209491
9	0.5119200801
10	0.5031110116
11	0.4963528601
12	0.4895931442
13	0.484793335
14	0.4796956245
15	0.4746836209
16	0.4711336986
17	0.4674846915
18	0.4639707076
19	0.4607941623
20	0.4576014133
21	0.45462703
22	0.452230098
23	0.4501139865
24	0.4480474266
25	0.4458487142
26	0.4444698758
27	0.4431060068
28	0.4412542951
29	0.4399256501
30	0.4385277642
31	0.4368948613
32	0.4358288393
33	0.43493108
34	0.4337800157
35	0.4330073423
36	0.4323961046
37	0.4315624322
38	0.4304929968
39	0.4298766593
40	0.4286898148
41	0.4278644161
42	0.4270351246
43	0.4262222403
44	0.4255690421
45	0.4249738091
46	0.4244398239
47	0.4236450195
48	0.4231299416
49	0.4225774423
50	0.4219826751
51	0.4216880471
52	0.4211429941
53	0.4206141403
54	0.4200353009
55	0.4194279333
56	0.4190812039
57	0.4186256465
58	0.4181983597
59	0.4178617576
60	0.4174153103
61	0.4168759585
62	0.4165227367
63	0.4161755462
64	0.4158883102
65	0.4155684408
66	0.4152827872
67	0.4149252884
68	0.4143972575
69	0.4139068784
70	0.4134857313
71	0.4131099627
72	0.4125477611
73	0.4121625253
74	0.4119577908
75	0.4113918321
76	0.4111180872
77	0.4108159993
78	0.4106115632
79	0.4101076389
80	0.4098019432
81	0.4094986844
82	0.4090823432
83	0.4087718913
84	0.4084007297
85	0.4079043014
86	0.4074619819
87	0.4070664424
88	0.4066293584
89	0.4062841797
90	0.4059906684
91	0.4056924325
92	0.4054631302
93	0.4053034351
94	0.405014237
95	0.4047926206
96	0.4043538411
97	0.4040890752
98	0.4039324635
99	0.4036507885
100	0.4035341842
101	0.4033060258
102	0.4029975767
103	0.4028356391
104	0.4026894712
105	0.4023256248
106	0.401949906
107	0.4017975486
108	0.4015208062
109	0.4013567573
110	0.4010098877
111	0.4008007089
112	0.400630778
113	0.4004895426
114	0.4003524396
115	0.4001303575
116	0.3999453577
117	0.3996791495
118	0.3994191171
119	0.3991514712
120	0.3989264775
121	0.3986860261
122	0.3984773718
123	0.3982090612
124	0.3980932165
125	0.3979368128
126	0.3975912227
127	0.3973842999
128	0.3972426939
129	0.3970426116
130	0.3967608462
131	0.3965409795
132	0.3964119783
133	0.3962880362
134	0.3961278528
135	0.3959477584
136	0.3957323947
137	0.3956421441
138	0.3954614122
139	0.3953671604
140	0.3951817265
141	0.395036499
142	0.3949539298
143	0.3947494665
144	0.3944857675
145	0.3942567772
146	0.3940460431
147	0.3938848651
148	0.3937171405
149	0.3935150237
150	0.393153682
151	0.3929257089
152	0.3926644558
153	0.3925444517
154	0.3924731807
155	0.392379182
156	0.3921306469
157	0.3920104664
158	0.3918032407
159	0.3917751465
160	0.3916501691
161	0.3915165021
162	0.3913372305
163	0.3911547761
164	0.3909538077
165	0.3908105378
166	0.3906725758
167	0.3903861988
168	0.3901422029
169	0.3899507785
170	0.3897817066
171	0.3895779668
172	0.3894298141
173	0.3892207348
174	0.3889496935
175	0.3888124548
176	0.3885948351
177	0.3884665889
178	0.3883219039
179	0.3880657959
180	0.3878805926
181	0.3876789686
182	0.3875790337
183	0.3874636683
184	0.3872502894
185	0.3870196262
186	0.3868713786
187	0.3866666802
188	0.3865120081
189	0.3863755335
190	0.3862650599
191	0.3861016394
192	0.3859044416
193	0.3857240759
194	0.3856060384
195	0.3853990343
196	0.3852549958
197	0.3850384431
198	0.3848258011
199	0.3846928756
200	0.3844425637
201	0.3842802011
202	0.3841171152
203	0.3839782353
204	0.3839237106
205	0.3837929552
206	0.3836605044
207	0.3834734022
208	0.3833399342
209	0.3831202438
210	0.3829926984
211	0.3828239249
212	0.3826681406
213	0.382533497
214	0.3823800682
215	0.3821767804
216	0.3820002396
217	0.3818549081
218	0.3817096625
219	0.3815462963
220	0.381401322
221	0.381140634
222	0.3810460115
223	0.3810294416
224	0.3809039397
225	0.3808184001
226	0.3806672589
227	0.3805481274
228	0.3803856608
229	0.3802045537
230	0.3799869746
231	0.3798227991
232	0.3797007378
233	0.379435565
234	0.3793617034
235	0.3792274034
236	0.379212972
237	0.3790173114
238	0.3789998553
239	0.3788554055
240	0.3787765842
241	0.3786400599
242	0.3784560863
243	0.3783305393
244	0.3781759169
245	0.3779532878
246	0.3779398645
247	0.3777289858
248	0.3775605695
249	0.3773810493
250	0.3772305682
251	0.3770874476
252	0.3768884503
253	0.376747866
254	0.376614719
255	0.3764583424
256	0.3762466363
257	0.3760709726
258	0.3759129639
259	0.3757840124
260	0.3757698568
261	0.3755762442
262	0.3753840061
263	0.3752881266
264	0.3751158266
265	0.3749930149
266	0.3748319318
267	0.374688255
268	0.3746795835
269	0.3746080096
270	0.3744486265
271	0.3742858842
272	0.3741187744
273	0.3739886475
274	0.3738544153
275	0.37367433
276	0.373511348
277	0.3735022515
278	0.373311867
279	0.3731704237
280	0.3731602467
281	0.3729551912
282	0.3729452356
283	0.3728922797
284	0.3726924868
285	0.3725198929
286	0.3723276593
287	0.3722192745
288	0.3720861319
289	0.3720696298
290	0.371946601
291	0.3717651955
292	0.3715145218
293	0.3713062744
294	0.3711487992
295	0.3709565204
296	0.3708561831
297	0.3705970278
298	0.3704183711
299	0.3702702863
300	0.3701143211
301	0.3699940683
302	0.3698845803
303	0.3698749005
304	0.3697126148
305	0.3697027452
306	0.3695698966
307	0.3694565023
308	0.3692890987
309	0.369118268
