iter	Passed	Remaining
399	35753	53630
400	35839	53535
401	35938	53460
402	36039	53388
403	36130	53300
404	36220	53212
405	36307	53120
406	36394	53027
407	36492	52950
408	36589	52871
409	36702	52815
410	36790	52724
411	36880	52634
412	37018	52614
413	37115	52535
414	37204	52444
415	37293	52354
416	37381	52262
417	37471	52172
418	37556	52077
419	37637	51975
420	37732	51893
421	37829	51813
422	37919	51724
423	38004	51628
424	38091	51534
425	38176	51440
426	38263	51346
427	38353	51256
428	38439	51163
429	38529	51073
430	38618	50983
431	38715	50903
432	38809	50819
433	38894	50723
434	38977	50626
435	39064	50533
436	39150	50438
437	39238	50347
438	39326	50255
439	39413	50162
440	39500	50069
441	39588	49978
442	39675	49885
443	39781	49816
444	39873	49730
445	39958	49634
446	40050	49548
447	40148	49468
448	40238	49379
449	40323	49284
450	40407	49188
451	40488	49087
452	40581	49002
453	40668	48909
454	40749	48809
455	40834	48714
456	40918	48618
457	41004	48524
458	41092	48433
459	41179	48340
460	41263	48245
461	41351	48153
462	41437	48060
463	41524	47967
464	41610	47874
465	41694	47778
466	41784	47690
467	41878	47605
468	41968	47516
469	42052	47421
470	42141	47330
471	42229	47239
472	42314	47144
473	42400	47051
474	42527	47003
475	42614	46911
476	42698	46815
477	42788	46727
478	42885	46645
479	42981	46563
480	43082	46486
481	43181	46406
482	43280	46326
483	43374	46241
484	43467	46156
485	43562	46072
486	43656	45987
487	43760	45913
488	43866	45840
489	43971	45766
490	44070	45685
491	44166	45602
492	44263	45520
493	44356	45434
494	44454	45353
495	44546	45265
496	44641	45180
497	44741	45100
498	44836	45016
499	44934	44934
500	45025	44846
501	45118	44759
502	45209	44670
503	45300	44581
504	45391	44493
505	45483	44404
506	45578	44320
507	45666	44228
508	45766	44147
509	45860	44062
510	45955	43976
511	46043	43885
512	46131	43793
513	46225	43707
514	46318	43620
515	46414	43536
516	46503	43445
517	46593	43354
518	46685	43267
519	46780	43182
520	46871	43092
521	46964	43005
522	47059	42920
523	47151	42831
524	47249	42749
525	47344	42664
526	47478	42613
527	47570	42525
