iter	Logloss
0	0.6598620877
1	0.6305886321
2	0.6059617016
3	0.5856532525
4	0.5673129973
5	0.549890512
6	0.5366525517
7	0.5247780762
8	0.5135733869
9	0.5044301622
10	0.4961914424
11	0.4897454472
12	0.4832254548
13	0.4763309733
14	0.4710574951
15	0.4650724646
16	0.4607380868
17	0.4572317482
18	0.454163425
19	0.4506026521
20	0.447572356
21	0.4449452402
22	0.4431345396
23	0.4407983308
24	0.4393373707
25	0.4370037571
26	0.435032855
27	0.4333487594
28	0.4312425537
29	0.4298451968
30	0.4282784559
31	0.426867183
32	0.4260108552
33	0.4248782869
34	0.4237143916
35	0.4225009178
36	0.4211640173
37	0.420278994
38	0.4194022759
39	0.4187367215
40	0.4177662308
41	0.416831023
42	0.4161238562
43	0.4153245171
44	0.4145610578
45	0.413742712
46	0.4132410482
47	0.4126161431
48	0.4120804579
49	0.4112464645
50	0.410904541
51	0.4102117423
52	0.4097315222
53	0.4092804678
54	0.4087273899
55	0.4082463288
56	0.4077682111
57	0.4074072492
58	0.4068058313
59	0.4063937807
60	0.4061555131
61	0.405745081
62	0.4051401503
63	0.4047164578
64	0.4042103588
65	0.403901869
66	0.4035377152
67	0.403261461
68	0.4029482467
69	0.4026819481
70	0.402301482
71	0.4019854782
72	0.4016888789
73	0.4012935203
74	0.4009374955
75	0.4005410518
76	0.4002822582
77	0.3999804235
78	0.3997053268
79	0.3993136167
80	0.3991368453
81	0.3987378834
82	0.3984262967
83	0.3981231373
84	0.3979407326
85	0.3976518419
86	0.3973091544
87	0.3969593235
88	0.3967123662
89	0.3964437889
90	0.3960750145
91	0.3958762071
92	0.3956921251
93	0.3953694164
94	0.3950195086
95	0.3947891846
96	0.3945833424
97	0.3943480993
98	0.3940333433
99	0.3936740316
100	0.3933269088
101	0.3930418294
102	0.3928010435
103	0.3926003101
104	0.3922964771
105	0.3920691867
106	0.3918861355
107	0.3915308069
108	0.3913236898
109	0.3911290057
110	0.3908673277
111	0.3906172101
112	0.3903989529
113	0.3901514802
114	0.3898788339
115	0.3896797644
116	0.3895090513
117	0.3893681912
118	0.3891674759
119	0.3889172951
120	0.3886804199
121	0.3884644188
122	0.3882636945
123	0.3879864547
124	0.3878432527
125	0.3876012551
126	0.3873549533
127	0.3871484691
